TextCodePK,n_sentences,n_tokens,Is_Explicit,N_Swear_Words_IT,N_Swear_Words_EN,Lyrics
802,46.0,526.0,,,,
803,69.0,549.0,,,,
804,72.0,696.0,,,,
805,78.0,620.0,,,,
806,54.0,676.0,,,,
807,64.0,581.0,,,,
808,78.0,586.0,,,,
809,79.0,683.0,,,,
810,52.0,589.0,,,,
811,66.0,479.0,,,,
812,68.0,712.0,,,,
813,85.0,599.0,,,,
814,61.0,521.0,,,,
815,64.0,540.0,,,,
816,77.0,572.0,,,,
817,56.0,496.0,,,,
818,93.0,755.0,,,,
819,68.0,619.0,,,,
820,48.0,429.0,,,,
821,56.0,397.0,,,,
822,76.0,660.0,,,,
823,80.0,847.0,,,,
824,72.0,690.0,,,,
825,90.0,833.0,,,,
826,44.0,429.0,,,,
827,60.0,652.0,,,,
828,60.0,605.0,,,,
829,66.0,539.0,,,,
830,87.0,746.0,,,,
831,69.0,668.0,,,,
832,51.0,490.0,,,,
833,50.0,489.0,,,,
834,59.0,509.0,,,,
835,53.0,442.0,,,,
836,74.0,559.0,,,,
837,65.0,500.0,,,,
838,66.0,608.0,,,,
839,59.0,568.0,,,,
840,56.0,500.0,,,,
841,58.0,564.0,,,,
842,90.0,770.0,,,,
843,55.0,443.0,,,,
844,41.0,463.0,,,,
845,80.0,515.0,,,,
846,55.0,474.0,,,,
847,56.0,423.0,,,,
848,60.0,576.0,,,,
849,52.0,645.0,,,,
850,43.0,499.0,,,,
851,43.0,399.0,,,,
852,59.0,536.0,,,,
853,60.0,621.0,,,,
854,67.0,570.0,,,,
855,84.0,879.0,,,,
856,52.0,426.0,,,,
857,40.0,397.0,,,,
858,61.0,647.0,,,,
859,59.0,431.0,,,,
860,75.0,529.0,,,,
861,67.0,541.0,,,,
862,68.0,628.0,,,,
863,75.0,786.0,,,,
864,81.0,793.0,,,,
865,67.0,495.0,,,,
866,75.0,669.0,,,,
867,63.0,512.0,,,,
868,76.0,697.0,,,,
869,60.0,575.0,,,,
870,76.0,815.0,,,,
871,72.0,557.0,,,,
872,68.0,631.0,,,,
873,56.0,451.0,,,,
874,35.0,285.0,,,,
875,73.0,682.0,,,,
876,72.0,591.0,,,,
877,73.0,590.0,,,,
878,59.0,680.0,,,,
879,50.0,526.0,,,,
880,60.0,547.0,,,,
881,81.0,707.0,,,,
882,55.0,556.0,,,,
883,52.0,515.0,,,,
884,47.0,503.0,,,,
885,51.0,447.0,,,,
886,62.0,521.0,,,,
887,52.0,457.0,,,,
888,75.0,595.0,,,,
889,50.0,474.0,,,,
890,58.0,440.0,,,,
891,58.0,604.0,,,,
892,54.0,384.0,,,,
893,61.0,442.0,,,,
894,45.0,422.0,,,,
895,55.0,484.0,,,,
896,69.0,562.0,,,,
897,76.0,515.0,,,,
898,63.0,522.0,,,,
899,40.0,329.0,,,,
900,78.0,594.0,,,,
901,63.0,534.0,,,,
902,46.0,422.0,,,,
903,80.0,514.0,,,,
904,49.0,454.0,,,,
905,71.0,620.0,,,,
906,77.0,748.0,,,,
907,61.0,605.0,,,,
908,59.0,593.0,,,,
909,59.0,599.0,,,,
910,59.0,471.0,,,,
911,46.0,412.0,,,,
912,58.0,492.0,,,,
913,60.0,457.0,,,,
914,35.0,309.0,,,,
915,46.0,412.0,,,,
916,64.0,764.0,,,,
917,75.0,639.0,,,,
918,84.0,638.0,,,,
919,63.0,593.0,,,,
920,12.0,249.0,,,,
921,69.0,851.0,,,,
922,53.0,612.0,,,,
923,79.0,538.0,,,,
924,60.0,476.0,,,,
925,62.0,538.0,,,,
926,66.0,670.0,,,,
927,59.0,537.0,,,,
928,75.0,620.0,,,,
929,50.0,471.0,,,,
930,79.0,652.0,,,,
931,111.0,937.0,,,,
932,63.0,509.0,,,,
933,48.0,440.0,,,,
934,85.0,793.0,,,,
935,53.0,583.0,,,,
936,50.0,408.0,,,,
937,72.0,591.0,,,,
938,50.0,420.0,,,,
939,69.0,336.0,,,,
940,51.0,471.0,,,,
941,58.0,553.0,,,,
942,54.0,543.0,,,,
943,32.0,314.0,,,,
944,88.0,807.0,,,,
945,72.0,541.0,,,,
946,55.0,573.0,,,,
947,66.0,497.0,,,,
948,75.0,662.0,,,,
949,113.0,980.0,,,,
950,62.0,425.0,,,,
951,65.0,483.0,,,,
952,61.0,502.0,,,,
953,73.0,661.0,,,,
954,71.0,412.0,,,,
955,85.0,627.0,,,,
